seq	tool	command
1	Bash	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; for b in feature/a feature/b; do echo "== $b ahead"; git log --oneline main..$b; echo "== behind"; git log --oneline $b..main; git diff --stat main...$b; done; git remote
2	PowerShell	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; foreach ($b in 'feature/a','feature/b') { "== $b ahead"; git log --oneline "main..$b"; "== behind"; git log --oneline "$b..main"; git diff --stat "main...$b" }; "== remotes"; git remote
3	PowerShell	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; '== a ahead'; git log --oneline main..feature/a; '== a behind'; git log --oneline feature/a..main; git diff --stat main...feature/a; '== b ahead'; git log --oneline main..feature/b; '== b behind'; git log --oneline feature/b..main; git diff --stat main...feature/b; '== remotes'; git remote
4	Bash	git status --short
5	Bash	git branch -v
6	Bash	git log --oneline --graph --all --decorate -20
7	Bash	git log --oneline main..feature/a
8	Bash	git log --oneline main..feature/b
9	Bash	git diff --stat main...feature/a
10	Bash	git diff --stat main...feature/b
11	Bash	git remote
12	Bash	git rebase main feature/a
13	Bash	git checkout main
14	Bash	git merge feature/a --ff-only
15	Bash	git rebase main feature/b
16	Bash	git checkout main
17	Bash	git merge feature/b --ff-only
18	Bash	git log --oneline --graph -10
